iter	Passed	Remaining
467	725	824
468	726	822
469	727	819
470	728	817
471	729	815
472	730	814
473	731	812
474	732	809
475	733	807
476	736	807
477	738	806
478	739	804
479	742	804
480	743	801
481	743	799
482	744	797
483	745	794
484	746	792
485	747	790
486	748	788
487	749	786
488	753	787
489	754	785
490	755	783
491	756	781
492	757	779
493	758	776
494	759	774
495	760	772
496	761	770
497	762	768
498	763	766
499	763	763
500	768	765
501	769	763
502	770	761
503	771	759
504	772	757
505	773	754
506	773	752
507	774	750
508	775	748
509	776	746
510	777	743
511	778	741
512	779	739
513	782	739
514	782	737
515	783	734
516	784	732
517	785	730
518	785	728
519	786	726
520	787	724
521	788	721
522	789	719
523	790	717
524	791	715
525	791	713
526	792	711
527	793	709
528	796	709
529	797	707
530	798	705
531	799	703
532	799	700
533	800	698
534	801	696
535	802	694
536	803	692
537	804	690
538	807	690
539	808	688
540	810	688
541	811	686
542	812	684
543	813	682
544	814	680
545	815	678
546	816	675
547	817	673
548	817	671
549	818	669
550	819	667
551	820	665
552	821	663
553	822	662
554	823	660
555	824	658
556	826	657
557	827	655
558	829	654
559	830	652
560	831	650
561	833	649
562	834	647
563	835	646
564	836	644
565	837	642
566	838	640
567	840	639
568	841	637
569	842	635
570	844	634
571	845	632
572	846	630
573	847	628
574	848	627
575	851	626
576	861	631
577	869	634
578	871	633
579	872	632
580	874	630
581	875	628
582	876	627
583	877	625
584	878	623
585	879	621
586	880	619
587	881	617
588	882	615
589	883	613
590	885	612
591	886	611
592	888	609
593	889	608
594	890	606
595	892	604
596	893	603
597	894	601
598	896	599
599	897	598
600	899	596
601	900	595
602	901	593
603	906	594
604	907	592
605	908	590
606	909	589
607	911	587
608	912	586
609	917	586
610	918	584
611	919	582
612	920	581
613	921	579
614	922	577
615	923	575
616	924	573
617	924	571
618	925	569
619	926	567
620	927	566
621	928	564
622	932	564
623	933	562
624	934	560
625	935	558
626	936	556
627	936	554
628	937	553
629	938	551
630	939	549
631	940	547
632	941	545
633	942	543
634	942	542
635	949	543
636	950	541
637	951	539
638	952	538
639	953	536
640	954	534
641	955	532
642	956	530
643	957	529
644	958	527
645	958	525
646	964	526
647	965	524
648	966	522
649	967	521
650	969	519
651	970	518
652	972	516
653	973	515
654	975	514
655	977	512
656	979	511
657	980	509
658	982	508
659	983	506
660	984	504
661	985	503
662	986	501
663	991	501
664	992	500
665	993	498
666	994	496
667	995	494
668	995	492
669	996	490
670	997	489
671	998	487
672	999	485
673	999	483
674	1000	481
675	1001	480
676	1005	479
677	1006	478
678	1007	476
679	1010	475
680	1011	473
681	1012	472
682	1014	470
683	1015	469
684	1020	469
685	1023	468
686	1024	466
687	1026	465
688	1027	463
689	1028	461
690	1029	460
691	1030	458
692	1037	459
693	1039	458
694	1044	458
695	1045	456
696	1046	454
697	1046	452
698	1050	452
699	1051	450
700	1052	448
701	1053	447
702	1054	445
703	1055	443
704	1056	442
705	1057	440
706	1059	439
707	1061	437
708	1066	437
709	1068	436
710	1069	434
711	1070	433
712	1072	431
713	1075	430
714	1077	429
715	1084	430
716	1085	428
717	1088	427
718	1089	425
719	1091	424
720	1101	426
721	1102	424
722	1104	423
723	1105	421
724	1106	419
725	1108	418
726	1109	416
727	1114	416
728	1116	414
729	1117	413
730	1118	411
731	1120	410
732	1121	408
733	1123	407
734	1127	406
735	1129	404
736	1130	403
737	1132	402
738	1134	400
739	1135	399
740	1137	397
741	1144	397
742	1145	396
743	1147	394
744	1148	393
745	1149	391
746	1151	390
747	1153	388
748	1154	387
749	1160	386
750	1162	385
751	1163	383
752	1164	382
753	1166	380
754	1168	379
755	1169	377
756	1172	376
757	1174	374
758	1175	373
759	1176	371
760	1178	370
761	1179	368
762	1180	366
763	1182	365
764	1185	364
765	1189	363
766	1191	362
767	1195	361
768	1196	359
769	1198	358
770	1200	356
771	1201	354
772	1205	354
773	1206	352
774	1208	350
775	1209	349
776	1211	347
777	1214	346
778	1216	345
779	1220	344
780	1225	343
781	1227	342
782	1228	340
783	1230	339
784	1232	337
785	1238	337
786	1240	335
787	1242	334
788	1244	332
789	1245	331
790	1247	329
791	1248	327
792	1252	327
793	1254	325
794	1255	323
795	1257	322
796	1259	320
797	1260	319
798	1261	317
799	1263	315
800	1266	314
801	1268	313
802	1269	311
803	1271	309
804	1272	308
805	1274	306
806	1275	305
807	1277	303
808	1282	302
809	1283	301
810	1285	299
811	1287	298
812	1288	296
813	1289	294
814	1291	293
815	1292	291
816	1294	289
817	1298	288
818	1300	287
819	1301	285
820	1303	284
821	1305	282
822	1307	281
823	1310	279
824	1312	278
825	1314	276
826	1316	275
827	1317	273
828	1319	272
829	1320	270
830	1321	268
831	1324	267
832	1326	265
833	1327	264
834	1329	262
835	1330	261
836	1332	259
837	1334	257
838	1335	256
839	1336	254
840	1340	253
841	1341	251
842	1343	250
843	1345	248
844	1347	247
845	1348	245
846	1352	244
847	1359	243
848	1361	242
849	1362	240
850	1364	238
851	1366	237
852	1368	235
853	1374	234
854	1375	233
855	1376	231
856	1378	229
857	1380	228
858	1381	226
859	1382	225
860	1384	223
861	1388	222
862	1389	220
863	1391	218
864	1392	217
865	1393	215
866	1394	213
867	1396	212
868	1397	210
869	1399	209
870	1403	207
871	1404	206
872	1405	204
873	1406	202
874	1408	201
875	1409	199
876	1410	197
877	1412	196
878	1413	194
879	1414	192
880	1419	191
881	1420	190
882	1422	188
883	1424	186
884	1426	185
885	1427	183
886	1429	182
887	1433	180
888	1435	179
889	1436	177
890	1437	175
891	1438	174
892	1439	172
893	1441	170
